N,K,trial,bytes
10,10,66,2081
10,10,67,2082
10,10,68,2081
10,10,69,2082
10,10,70,2081
10,10,71,2081
10,10,72,2082
10,10,73,2082
10,10,74,2082
10,10,75,2082
10,10,76,2082
10,10,77,2082
10,10,78,2082
10,10,79,2082
10,10,80,2081
10,10,81,2082
10,10,82,2082
10,10,83,2082
10,10,84,2082
10,10,85,2082
10,10,86,2081
10,10,87,2082
10,10,88,2081
10,10,89,2082
10,10,90,2081
10,10,91,2082
10,10,92,2082
10,10,93,2082
10,10,94,2082
10,10,95,2082
10,10,96,2082
10,10,97,2082
10,10,98,2081
10,10,99,2081
